Who can name more states? ${playerOne} or ${playerTwo}?
Who can name more cities in Alabama, ${playerOne} or ${playerTwo}?
Who can name more cities in Alaska, ${playerOne} or ${playerTwo}?
Who can name more cities in Arizona, ${playerOne} or ${playerTwo}?
Who can name more cities in Arkansas, ${playerOne} or ${playerTwo}?
Who can name more cities in California, ${playerOne} or ${playerTwo}?
Who can name more cities in Colorado, ${playerOne} or ${playerTwo}?
Who can name more cities in Connecticut, ${playerOne} or ${playerTwo}?
Who can name more cities in Delaware, ${playerOne} or ${playerTwo}?
Who can name more cities in District of Columbia, ${playerOne} or ${playerTwo}?
Who can name more cities in Florida, ${playerOne} or ${playerTwo}?
Who can name more cities in Georgia, ${playerOne} or ${playerTwo}?
Who can name more cities in Hawaii, ${playerOne} or ${playerTwo}?
Who can name more cities in Idaho, ${playerOne} or ${playerTwo}?
Who can name more cities in Illinois, ${playerOne} or ${playerTwo}?
Who can name more cities in Indiana, ${playerOne} or ${playerTwo}?
Who can name more cities in Iowa, ${playerOne} or ${playerTwo}?
Who can name more cities in Kansas, ${playerOne} or ${playerTwo}?
Who can name more cities in Kentucky, ${playerOne} or ${playerTwo}?
Who can name more cities in Louisiana, ${playerOne} or ${playerTwo}?
Who can name more cities in Maine, ${playerOne} or ${playerTwo}?
Who can name more cities in Maryland, ${playerOne} or ${playerTwo}?
Who can name more cities in Massachusetts, ${playerOne} or ${playerTwo}?
Who can name more cities in Michigan, ${playerOne} or ${playerTwo}?
Who can name more cities in Minnesota, ${playerOne} or ${playerTwo}?
Who can name more cities in Mississippi, ${playerOne} or ${playerTwo}?
Who can name more cities in Missouri, ${playerOne} or ${playerTwo}?
Who can name more cities in Montana, ${playerOne} or ${playerTwo}?
Who can name more cities in Nebraska, ${playerOne} or ${playerTwo}?
Who can name more cities in Nevada, ${playerOne} or ${playerTwo}?
Who can name more cities in New Hampshire, ${playerOne} or ${playerTwo}?
Who can name more cities in New Jersey, ${playerOne} or ${playerTwo}?
Who can name more cities in New Mexico, ${playerOne} or ${playerTwo}?
Who can name more cities in New York, ${playerOne} or ${playerTwo}?
Who can name more cities in North Carolina, ${playerOne} or ${playerTwo}?
Who can name more cities in North Dakota, ${playerOne} or ${playerTwo}?
Who can name more cities in Ohio, ${playerOne} or ${playerTwo}?
Who can name more cities in Oklahoma, ${playerOne} or ${playerTwo}?
Who can name more cities in Oregon, ${playerOne} or ${playerTwo}?
Who can name more cities in Pennsylvania, ${playerOne} or ${playerTwo}?
Who can name more cities in Rhode Island, ${playerOne} or ${playerTwo}?
Who can name more cities in South Carolina, ${playerOne} or ${playerTwo}?
Who can name more cities in South Dakota, ${playerOne} or ${playerTwo}?
Who can name more cities in Tennessee, ${playerOne} or ${playerTwo}?
Who can name more cities in Texas, ${playerOne} or ${playerTwo}?
Who can name more cities in Utah, ${playerOne} or ${playerTwo}?
Who can name more cities in Vermont, ${playerOne} or ${playerTwo}?
Who can name more cities in Virginia, ${playerOne} or ${playerTwo}?
Who can name more cities in Washington, ${playerOne} or ${playerTwo}?
Who can name more cities in West Virginia, ${playerOne} or ${playerTwo}?
Who can name more cities in Wisconsin, ${playerOne} or ${playerTwo}?
Who can name more cities in Wyoming, ${playerOne} or ${playerTwo}?
